img_id,scan_name,classname,gt_index,has_pred_bbox
0,scene0500_01,table,0,True
0,scene0500_01,table,1,True
0,scene0500_01,chair,2,True
0,scene0500_01,chair,3,True
0,scene0500_01,chair,4,True
0,scene0500_01,chair,5,True
0,scene0500_01,chair,6,True
0,scene0500_01,chair,7,True
0,scene0500_01,chair,8,True
0,scene0500_01,chair,9,True
0,scene0500_01,chair,10,True
0,scene0500_01,chair,11,True
0,scene0500_01,chair,12,True
0,scene0500_01,chair,13,True
0,scene0500_01,chair,14,True
0,scene0500_01,chair,15,True
0,scene0500_01,chair,16,True
0,scene0500_01,chair,17,True
0,scene0500_01,chair,18,True
0,scene0500_01,chair,19,True
0,scene0500_01,chair,20,True
0,scene0500_01,chair,21,True
0,scene0500_01,chair,22,True
0,scene0500_01,chair,23,False
0,scene0500_01,chair,24,True
0,scene0500_01,chair,25,True
0,scene0500_01,chair,26,True
0,scene0500_01,chair,27,True
0,scene0500_01,chair,28,True
0,scene0500_01,chair,29,True
0,scene0500_01,chair,30,True
0,scene0500_01,chair,31,True
0,scene0500_01,chair,32,False
0,scene0500_01,otherfurniture,33,True
0,scene0500_01,otherfurniture,34,False
0,scene0500_01,cabinet,35,False
0,scene0500_01,cabinet,36,False
0,scene0500_01,window,37,True
0,scene0500_01,window,38,False
0,scene0500_01,window,39,False
0,scene0500_01,window,40,False
0,scene0500_01,window,41,False
1,scene0064_01,bookshelf,0,True
1,scene0064_01,bookshelf,1,True
1,scene0064_01,table,2,True
1,scene0064_01,table,3,True
1,scene0064_01,chair,4,True
1,scene0064_01,chair,5,True
1,scene0064_01,chair,6,True
1,scene0064_01,chair,7,True
1,scene0064_01,door,8,True
2,scene0655_01,chair,0,True
2,scene0655_01,chair,1,True
2,scene0655_01,chair,2,True
2,scene0655_01,chair,3,True
2,scene0655_01,chair,4,True
2,scene0655_01,chair,5,True
2,scene0655_01,chair,6,True
2,scene0655_01,chair,7,True
2,scene0655_01,chair,8,True
